Title 	Image Link	Text description
Поллукс	https://avatars.mds.yandex.net/i?id=7d2733f3858dcf38d858ef426c316c69_l-9030085-images-thumbs&n=13	Оранжевый сверхгигант в созвездии Близнецов, занимает 17-е место по яркости среди всех звёзд. В будущем эволюционирует в белый карлик, имеет размер 8,8 солнечных радиусов.
Альтаир	https://avatars.mds.yandex.net/i?id=7cb8bd0a5f3d4db88c11c22bf4cc4e21_l-5234911-images-thumbs&n=13	Белая звезда в созвездии Орла, одна из ближайших к Солнцу ярких звёзд. Вращается с очень высокой скоростью, что приводит к её сплющиванию.
Капелла	https://yandex-images.clstorage.net/N1B00o314/f6a390TH/YlKApKr-OS1mEpMDSyb4Ag6qLn9TB-YE9eaZmR_Qh_5BHr3UHbPQB2t4kh4tb_0je-R7Tm4NXDFcNU7PRKz05gdGheBvakzJFhLCR_uCOaLPq3q-hzayJWWm7AnaxgGcQzmbRr7BB3DcmVdL3Qopwur1bdgaP6mTKwHbLzf-41ED0ZCG2p6I-cRgwvTa1bnizlnqLzNHgicwhIuc7NcwTVIriAffMAZS3wnnKy-JarY5BOxZzP_oYUoCSVxVHTNRUiESVkgcWUsXYkLHmgYpYO46muzS9oBmkCcqr5zEcvxCG0ik_8H1Ui675zocepnnOYU-ux59KhA5sTttdT-wwbNwgDeY3FsIxNICpRilibM9W3pfkFQxhyGW2oweVMIcsTobpO3RVyKuSicJ_VjLVhtnL7ucbBmRGWIKr4fdQ1MTcuPVWq3rueagMIa6NLnDL-v6DXInAuRARGkcXUfjLwI7G5TvwKVjzltVeax6-ITL931Zba850UsjOs_l7qOSwMCCRcmcGnkG4eNWOuXroX7pSfyj9BN0MYQZHNxXIq7wWiu23yI3cJ8K9ZlP6CvUWNZcOz9dOCHrYgruZS5TMPLTEmT5z5m6puOC9oh16CD_i2h_oSaA1CMU-Z3MxWPOA9vY1J1zR-KcC7fb_ht4hyjXvGiOzghASXD7r3cPUFMR4YDFuWyIq6RyINTr1LiRP8q6LKL3MCTjVlrM7-bTPsCp-ebO0pYj7ImXmQ1bCAbpRo9orV0K4boQ6T1HfkCQgMJBNmtMGWnVwvB0CCRYsK-ryoyTFQHXUOULj42lUt6Rmio2LMH2IDxJ1ssduFlUKOZMmo-c2sFpkjheZdxik7KTs7Rrz_tYF6Pi1oiX2_J_iKud0MUDheCGSM2_ZzK9cbv5Jj-ih0JeGZfb_dtIphkWfNt-bkuhilH7LTWO0BGgsvB26307esTgMIQKBIgivasIbrAG4tRAtxm9rRWR8	Яркая жёлтая звезда в созвездии Возничего, четвёртая по яркости на северном небе. На самом деле представляет собой двойную систему из двух гигантских звёзд.
Денеб	https://avatars.mds.yandex.net/i?id=c200386c81f1f713b75b2756b957252f_l-12421548-images-thumbs&n=13	Яркая звезда в созвездии Лебедя, одна из самых больших известных звёзд. Относится к классу сверхгигантов и имеет огромную светимость.
Акрукс	https://yandex-images.clstorage.net/N1B00o314/f6a390TH/YlKApKr-OS1mEpMDSyb4Ag6qLn9TB-YE9eaZmR-Vwn4ELvikGHPAghs94h49ejhTnoErXstoXGFchf6aRKz05scGlYC_2izJFhLCR_uCOaLPq3q-hzayJWWm7AnaxgGcQzmbRr7BB3DcmVdL3Qopwur1bdgaP6mTKwHbLzf-41ED0ZCG2p6I-cRgwvTa1bnizlnqLzNHgicwhIuc7NcwTVIriAffMAZS3wnnKy-JarY5BOxZzP_oYUoCSVxVHTNRUiESVkgcWUsXYkLHmgYpYO46muzS9oBmkCcqr5zEcvxCG0ik_8H1Ui675zocepnnOYU-ux59KhA5sTttdT-wwbNwgDeY3FsIxNICpRilibM9W3pfkFQxhyGW2oweVMIcsTobpO3RVyKuSicJ_VjLVhtnL7ucbBmRGWIKr4fdQ1MTcuPVWq3rueagMIa6NLnDL-v6DXInAuRARGkcXUfjLwI7G5TvwKVjzltVeax6-ITL931Zba850UsjOs_l7qOSwMCCRcmcGnkG4eNWOuXroX7pSfyj9BN0MYQZHNxXIq7wWiu23yI3cJ8K9ZlP6CvUWNZcOz9dOCHrYgruZS5TMPLTEmT5z5m6puOC9oh16CD_i2h_oSaA1CMU-Z3MxWPOA9vY1J1zR-KcC7fb_ht4hyjXvGiOzghASXD7r3cPUFMR4YDFuWyIq6RyINTr1LiRP8q6LKL3MCTjVlrM7-bTPsCp-ebO0pYj7ImXmQ1bCAbpRo9orV0K4boQ6T1HfkCQgMJBNmtMGWnVwvB0CCRYsK-ryoyTFQHXUOULj42lUt6Rmio2LMH2IDxJ1ssduFlUKOZMmo-c2sFpkjheZdxik7KTs7Rrz_tYF6Pi1oiX2_J_iKud0MUDheCGSM2_ZzK9cbv5Jj-ih0JeGZfb_dtIphkWfNt-bkuhilH7LTWO0BGgsvB26307esTgMIQKBIgivasIbrAG4tRAtxm9rRWR8	Кратная звёздная система в созвездии Южного Креста, самая яркая звезда этого созвездия. Состоит из нескольких компонентов, включая голубовато-белую звезду.
Спика	https://mediasole.ru/data/images/533/533125/0_8a6eb_737e5ecc_XL.jpg	Самая яркая звезда в созвездии Девы, относится к классу голубых гигантов. Является одной из самых горячих звёзд, видимых невооружённым глазом.
Антарес	https://avatars.mds.yandex.net/i?id=e1132c3408560ff48587a90a957541db_l-7085821-images-thumbs&n=13	Красный сверхгигант в созвездии Скорпиона, одна из самых больших и ярких звёзд на небе. Название означает “соперник Марса” из-за своего красноватого цвета.
Фомальгаут	https://cdnstatic.rg.ru/uploads/images/186/82/67/FomalhautRing_1000.jpg	Яркая звезда в созвездии Южной Рыбы, одна из самых близких к Солнцу звёзд спектрального класса А. Имеет планетарную систему.
Регул	https://yandex-images.clstorage.net/N1B00o314/f6a390TH/YlKApKr-OS1mEpMDSyb4Ag6qLn9TB-YE9eaZmRrAp0sxHojx3abAUht44s5tXwhTHtR7S8tdeTEsNe7vRKz05sdm1bDvynzJFhLCR_uCOaLPq3q-hzayJWWm7AnaxgGcQzmbRr7BB3DcmVdL3Qopwur1bdgaP6mTKwHbLzf-41ED0ZCG2p6I-cRgwvTa1bnizlnqLzNHgicwhIuc7NcwTVIriAffMAZS3wnnKy-JarY5BOxZzP_oYUoCSVxVHTNRUiESVkgcWUsXYkLHmgYpYO46muzS9oBmkCcqr5zEcvxCG0ik_8H1Ui675zocepnnOYU-ux59KhA5sTttdT-wwbNwgDeY3FsIxNICpRilibM9W3pfkFQxhyGW2oweVMIcsTobpO3RVyKuSicJ_VjLVhtnL7ucbBmRGWIKr4fdQ1MTcuPVWq3rueagMIa6NLnDL-v6DXInAuRARGkcXUfjLwI7G5TvwKVjzltVeax6-ITL931Zba850UsjOs_l7qOSwMCCRcmcGnkG4eNWOuXroX7pSfyj9BN0MYQZHNxXIq7wWiu23yI3cJ8K9ZlP6CvUWNZcOz9dOCHrYgruZS5TMPLTEmT5z5m6puOC9oh16CD_i2h_oSaA1CMU-Z3MxWPOA9vY1J1zR-KcC7fb_ht4hyjXvGiOzghASXD7r3cPUFMR4YDFuWyIq6RyINTr1LiRP8q6LKL3MCTjVlrM7-bTPsCp-ebO0pYj7ImXmQ1bCAbpRo9orV0K4boQ6T1HfkCQgMJBNmtMGWnVwvB0CCRYsK-ryoyTFQHXUOULj42lUt6Rmio2LMH2IDxJ1ssduFlUKOZMmo-c2sFpkjheZdxik7KTs7Rrz_tYF6Pi1oiX2_J_iKud0MUDheCGSM2_ZzK9cbv5Jj-ih0JeGZfb_dtIphkWfNt-bkuhilH7LTWO0BGgsvB26307esTgMIQKBIgivasIbrAG4tRAtxm9rRWR8	Самая яркая звезда в созвездии Льва, принадлежит к классу голубых гигантов. Является одной из вершин “астеризма Льва”.
Кастора	https://avatars.dzeninfra.ru/get-zen_doc/30229/pub_5af06a29c3321b9f0ebd29a8_5af06a9c9e29a26bab2142ab/scale_1200	Двойная звёздная система в созвездии Близнецов, одна из двух главных звёзд этого созвездия. Состоит из двух похожих компонентов.
Мицар	https://i.pinimg.com/736x/9e/72/fa/9e72fa35c2dfb20e8b4600fec118102d.jpg	Вторая по яркости звезда в созвездии Большой Медведицы, образует пару с Алькором. Традиционно используется для проверки остроты зрения.
Альциона	https://avatars.mds.yandex.net/i?id=4c5a1977298701f9488f27d473237899_l-10090172-images-thumbs&n=13	Яркая звезда в созвездии Тельца, является одной из звёзд скопления Гиады. Относится к классу жёлтых гигантов.
